69,1e-10,80.0,0.0001,0.7319,0.9684,1
69,1e-10,90.0,0.0001,0.7085,0.9684,1
69,1e-10,100.0,0.0001,0.7402,0.9684,1
69,1e-10,1e-05,0.0001,0.5144,0.9684,2
69,1e-10,0.05,0.0001,0.5207,0.9684,2
69,1e-10,0.1,0.0001,0.5327,0.9684,2
69,1e-10,0.2,0.0001,0.5138,0.9684,2
69,1e-10,0.3,0.0001,0.5353,0.9684,2
69,1e-10,0.5,0.0001,0.5329,0.9684,2
69,1e-10,0.7,0.0001,0.5455,0.9684,2
69,1e-10,1.0,0.0001,0.5217,0.9684,2
69,1e-10,1.5,0.0001,0.6028,0.9684,2
69,1e-10,2.0,0.0001,0.5986,0.9684,2
69,1e-10,3.0,0.0001,0.6523,0.9684,2
69,1e-10,4.0,0.0001,0.6658,0.9684,2
69,1e-10,5.0,0.0001,0.6538,0.9684,2
69,1e-10,7.0,0.0001,0.7035,0.9684,2
69,1e-10,10.0,0.0001,0.6957,0.9684,2
69,1e-10,15.0,0.0001,0.7126,0.9684,2
69,1e-10,20.0,0.0001,0.7137,0.9684,2
69,1e-10,30.0,0.0001,0.7117,0.9684,2
69,1e-10,40.0,0.0001,0.7052,0.9684,2
69,1e-10,50.0,0.0001,0.7276,0.9684,2
69,1e-10,60.0,0.0001,0.7102,0.9684,2
69,1e-10,70.0,0.0001,0.6924,0.9684,2
69,1e-10,80.0,0.0001,0.7304,0.9684,2
69,1e-10,90.0,0.0001,0.7311,0.9684,2
69,1e-10,100.0,0.0001,0.7289,0.9684,2
69,1e-10,1e-05,0.0001,0.5086,0.9684,3
69,1e-10,0.05,0.0001,0.5139,0.9684,3
69,1e-10,0.1,0.0001,0.5000,0.9684,3
69,1e-10,0.2,0.0001,0.4961,0.9684,3
69,1e-10,0.3,0.0001,0.4935,0.9684,3
69,1e-10,0.5,0.0001,0.5526,0.9684,3
69,1e-10,0.7,0.0001,0.5759,0.9684,3
69,1e-10,1.0,0.0001,0.5217,0.9684,3
69,1e-10,1.5,0.0001,0.5783,0.9684,3
69,1e-10,2.0,0.0001,0.6583,0.9684,3
69,1e-10,3.0,0.0001,0.6481,0.9684,3
69,1e-10,4.0,0.0001,0.6713,0.9684,3
69,1e-10,5.0,0.0001,0.6849,0.9684,3
69,1e-10,7.0,0.0001,0.6848,0.9684,3
69,1e-10,10.0,0.0001,0.7054,0.9684,3
69,1e-10,15.0,0.0001,0.7003,0.9684,3
69,1e-10,20.0,0.0001,0.7139,0.9684,3
69,1e-10,30.0,0.0001,0.6969,0.9684,3
69,1e-10,40.0,0.0001,0.7255,0.9684,3
69,1e-10,50.0,0.0001,0.7099,0.9684,3
69,1e-10,60.0,0.0001,0.7297,0.9684,3
69,1e-10,70.0,0.0001,0.7122,0.9684,3
